정보통신	Information communication
분야	Field (of work)
발명품	Invention
인류	Human race
문자	Text message
오타	Typing error
해고되다	To get fired
감추다	To conceal
제품화하다	To be manafactured
목판 인쇄물	Woodblock printed material
전신기	Telegraphic instrument
통신위성	Communication satelite
수정액	Liquid whiteout, fixed amount
여비서	Female secretary
제품	Product
가격	Price
기능	Function
기술력	Technical skills
소재	Material
실용성	Practically
용도	Use
용량	Capacity
제조사	Manafacturer
문서를 작성하다	To draw up a document
편집하다	To edit
저장하다	To save
튼튼하다	To be strong, sturdy
방수	Waterproof
화질	Image/ video quality
뛰어나다	To be outstanding
두께	Thickness
얇아지다	To become thin
꼽히다	To be noted for
개선되다	To improve
실용화되다	To become practical
가스	Gas
양초	Candles
실내	Indoor
시행착오	Trial and error
N 끝에	At the end of N
빛을 내다	To emit light
N에 구애를 받다	To be attracted to N
향상	Improvement
진화하다	To evolve
N 이외의	Non- N
추가되다	To add
영상	Video
전송하다	To transmit
나름이다	To depend
보관하다	To store
익다	To ripen
김치를 담그다	To make kimchi
4도(°C) 내외로	At of below 4 degrees C
유지되다	To be maintained
유지하다	To maintain
냉장실	Refrigerator
정밀하다	To be precise
일정하게 하다	To be steady
이래로	Since
보급률	Supply rate
에 이르다	To reach
추세이다	To be current, have a tendency
합쳐지다	To be combined
상품화되다	To be commercialized
쏟아져 나오다	To spout out
까다롭다	To be picky
성능	Performance
산업용	Industrial use
비가 그치다	To stop raining
플라스틱	Plastic
백열전구	Incandescent bulb
신선도	Freshness
첫선을 보이다	To make one's debut
자뭇	Exceedingly
이튕겨 나가다	To bounce off (and get out)
필요는 발명의 어머니이다	Necessity is the mother of invention
전시회	Exhibition
특수 N	Special N
물에 뜨다	To float on water
자동으로	Automatically
위생적인	To be hygenic
조절하다	To regulate
좌석	Seat
장치	Device
망설여지다	To be hesitant
망설이다	To hesitate
머지않아	Soon
대개	Usually
떠올리다	To recall
우수	Distinction
5월 초	Beginning of May
5월 중순	Middle of May
5월 말	End of May
예정이다	To be planning to
구명조끼	Life jacket
살균되다	To be sterilized
출품되다	To submit for exhibition
거창하다	To be grandiose
가렵다	To be itchy
따갑다	To be tingling
속이 메스껍다	To feel sick to the stomach
어지럽다	To feel dizzy
손이 시리다	To have freezing hands
쑤시다	To ache
저리다	To be numb
나른하다	To feel drowsy, sluggish
속이 더부룩하다	To feel bloated
몸이 뻐근하다	To have a stiff body
