질색이다	To hate
영화가 개봉되다	A film to open
코미디 전문 배우	Comedy specialist actor
주연	Lead role
조연	Supporting role
감독	Director
관객	Audience
조조	Early showing
멜로(드라마)	Melodrama
공상 과학	Science fiction
줄거리	Plot
상영 시간	Screening time
관람 등급	Age rating
담기다	To be filled, contained
시나리오	Scenario
등장인물	Character
배경	Background
대사	Dialogue
지문	Fingerprint
근사하다	To be wonderful, fantastic
문구	Phrase
억세다	To be tough, strong
넋을 잃고 보다	To take a rapt view
비를 맞다	To get rained on
서서히	Gradually
사로잡히다	To become obsessed with
훤히	Wide open
가슴이 벅차오르다	One's heart swells up
(눈에) 눈물이 고이다	To have tears gather in one's eyes
마구	Severely, harshly
기대다	To lean, rest
접다	To fold, collapse
향하다	To face, head
알아차리다	To realize, notice
장르	Genre
호들갑을 떨다	To make a fuss
고개를 가로젓다	To shake one's head
별안간	Suddenly
벤치	Bench
추스르다	To pick and trim
털다	To dust, brush
한동안	For a while
바라보다	To gaze at
외면하다	To turn one's face away
가슴이 두근거리다	Heart palpitations
숨이 차다	To gasp for breath
젖다	To get damp, moist, wet
어차피	Anyway
혼잣말하다	To talk to oneself
멈칫 서다	To stop at a snail's pace
처마	Eaves
원두막	Lookout hut
헐떡거리다	To gasp for breath
빗줄기	Rain showers
상영 시간	Running time
개봉	Release date
