건물	building
돈	money
돌	the first birthday
며칠	what date; a few days
번호	number
올해	this year
이메일	e-mail
잔치	feast; party
카드	card
편지	letter
~(으)ㄴ	noun modifying form (adjective)
보내다	to send
축하하다	to congratulate
길다	to be long
짧다	to be short
께	to (a person) (honorific)
와/과	and (joins nouns)
한테	to (a person or an animal; colloquial form)
한테서	from (a person or an animal; colloquial form)
모자	cap; hat
가족	family
나이	age
딸	daughter
댁	home; house (honorific)
사진	photo; picture
생신	birthday (honorific)
성함	name (honorific)
스웨터	sweater
아들	son
연세	age (honorific)
작년	last year
장갑	gloves
할머니	grandmother
할아버지	grandfather
살	years old
분	people (honorific)
돌아가시다	to pass away
드리다	to give (honorific)
드시다	to eat (honorific)
주무시다	to sleep (honorific)
죽다	to die
찍다	to take a photo
건강하다	to be healthy
즐겁다	to be joyful
모두	all
께서	subject particle (honorific)
~(으)시	subject honorifics
