공항	airport
기사	driver
길	street, road
모레	the day after tomorrow
손님	guest, customer
아저씨	mister; a man of one's parents' age
연락	contact
인천	Incheon
전	before
후	after
휴일	holiday, day off
적어도	at least
빨리	fast, quickly
건너다	to cross
(돈을) 내다	to pay
수고하다	to put forth effort, take trouble
운전하다	to drive
~(이)라서	because N am/are/is
~지 못하다	cannot (long form of negation)
게임	Game
계단	Stairs
곳	Place
노래방	karaoke (bar)
목소리	voice
엘리베이터	elevator
웬일	what matter
정류장	(bus) stop
출구	exit
큰아버지	uncle (father's older brother)
택시비	taxi fare
휴게실	lounge
더	more
배(가) 부르다	to have a full stomach
적다	to be few, scarce
(노래) 부르다	to sing
도착하다	to arrive
마중 나오다 / 마중 나가다	to come/go out to greet someone
목(이) 마르다	to be thirsty
졸다	to doze off
~게	adverbial suffix
~지 말다 (마세요)	to stop, cease
