까만색	black (=까망)
사이즈	size
세일	sale
양말	socks, stockings
운동화	sports shoes, sneakers
점원	clerk, salesperson
금방	soon (not 곧...)
어서	quick(ly)
번	number of times (e.g., 한 번, 두 번)
켤레	pair
~(으)ㄹ 수 있다/없다	can/cannot (sentence pattern)
갈아 입다	to change (clothes)
갈아 타다	to change (vehicles)
갖고 가다	to take
갖고 오다	to bring
갖고 다니다	to carry around
갖다 놓다	to bring/put down somewhere
갖다 주다/드리다(humble)	to bring/take something to someone
걸어가다	to go on foot
걸어오다	to come on foot
걸어다니다	to walk around
돌아오다	to return, come back
타고 가다	to go riding
타고 오다	to come riding
타고 다니다	to come/go riding
에	for, per
거리	distance; street
계획(하다)	plan
등산(하다)	hiking
목욕(하다)	bath
문	door
샤워(하다)	shower
잡지	magazine
졸업(하다)	graduation
화장실	bathroom, restroom
별로	not really
제일	first, most
구경하다	to look around; to sightsee
고르다	to choose, select
세수하다	to wash one's face
손(을) 씻다	to wash one's hands
열다	to open
이(를) 닦다	to brush one's teeth
~고 나서	after (clausal connection)
~(으)면서	while ~ing
~(으)ㄹ	noun modifying form (prospective)
