과자	chips, cookies, crackers
냉면	naengmyon (cold buckwheat noodles)
라면	instant noodles (ramen)
밥	cooked rice; meal
볼링	bowling
비빔밥	pibimbap (rice with vegetables and beef)
순두부찌개	spicy soft tofu stew
육개장	spicy beef and leek soup
음식점	restaurant (=식당)
자리	seat
종업원	employee
케이크	cake
물어보다	to inquire
싫어하다	to dislike
주문하다	to order
뜨겁다	to be hot
시원하다	to be cool, refreshing
싫다	to be undesirable
차다	to be cold
~기	nominalizer
~기 때문에	because
~어/아 보다	to try to
값	price
계산서	check
김치	kimchi
녹차	green tea
된장찌개	soybean-paste stew
메뉴	menu
반찬	side dishes
샌드위치	Sandwich
식사	meal
음료수	beverage
피자	pizza
~어/아 드리다	do something for another's benefit (honorific)
놓아 주다/드리다 (honorific)	to put something down (for someone)
돌려 주다/드리다 (honorific)	to return (something to/for someone)
시키다	to order (food)
식사하다	to have a meal
잘라 주다/드리다 (honorific)	to cut (something for someone)
달다	to be sweet
맵다	to be spicy
않다	to not be, to not do
짜다	to be salty
