가만히	calmly; stealthily; still
강도	a robber; a burglar
개꿈	a silly dream; a false dream
걸어가다	to walk
고백하다	to confess; to ask someone out
귀찮다	to be annoying; to be irritating
그저께	the day before yesterday
기대하다	to expect
깡패	a gangster
깨다	to wake up
깨우다	to wake somebody up
꿈속	in one's dream
나타나다	to appear; to come out
달려가다	to rush; to run to
달려오다	to come running
도망	escape; running away
돼지꿈	a dream about pigs; lucky dream
똥	dung; poop
뛰어내리다	to jump down
모기	a mosquito
물고기	a fish
물다	to bite
물리다	to be bitten
믿다	to believe; to trust
밤중	the middle of the night; midnight
뱀	a snake
복권	a lottery ticket
부자	a rich person
상어	a shark
순간	a moment
악어	a crocodile; an alligator
안기다	to be hugged
안다	to hug; to embrace
어쩌면	maybe; possibly
업다	to carry on the back; to piggy back ride; to give a piggy back ride
울리다	to ring
잠그다	to lock
잡다	to catch
잡히다	to be caught
짝사랑	one sided love; unrequited love
쫓다	to pursue; to chase; to run after
쫓아가다	to go in pursuit; to catch up with; to follow
파리	a fly
한참	for some time; quite sometime
행운	good luck; good fortune
현실	reality
기회를 놓치다	to miss an opportunity; to muss a chance
꿈에서 깨다	to be awakened from a dream; to be woken up from a dream
소용이 없다	to be useless; to be of no use; pointless
시험에 떨어지다	to fail an exmanination
시험에 붙다	to pass an examination
잠이 깨다	to wake up
잠이 들다	to fall asleep
잠이 오다	to gather straws; to be sleepy
아뇨	no
성공하다	to make it; to succeed; to do well
업히다	to ride on someones back
왜냐하면	because; since
뛰어가다	to run; to rush; to dash; to dart
