A4용지	A4 sized paper
강조하다	to emphasize; to highlight
과제	a work; homework; assigment
능력	an ability; capability
다운되다	to be down; to freeze; to be frozen
문서	a document
바이러스	a virus; computer virus
바탕화면	a wallpaper
밖	the outside; the open; exterior
보고서	a report
복사	a copy
불러오기	a load; open
빈문서	an unlimited document
삭제	deletion
속도	speed
수정하기	correction
시대	an era
연결선	extension lead; cable; cord
위치	a location
이미지 파일	an image file
익숙해지다	to become accustomed to; to get used to
인쇄	a print
입력	an input
자료	data
자판	a keyboard
작성하다	to make out; to fill in out; to write
작업	a work
저장	a save
지워지다	to be deleted; to be erased
직장인	an office worker; empleyed person
체크하다	to check
술력	an output; a print out
텍스트 파일	a text file
파일	a file
편집하다	to edit
풀더	a folder
표	a table; a graph; a chart; a diagram
타자를 치다	to type
산책하다	to stroll; to take  a walk
오타	a typo; a typing error
