강의실	classroom
건축물	bulding
관리하다	to administer; to control; to manage
교환학생	an exchange student
근면성실	assiduousness; diligence; hard-working
논술 시험	an essay test
등록하다	to register
마감일	deadline; due date
명단	a list
모집광고	a hiring ad
무엇보다	above all; most of all
복학하다	to go back to school
부전공	minor
안내	information
어리다	to be young
오리엔테이션	orientation
원서 접수	submitting application
입사하다	to join; to enter a company
입학식	to entrance ceremony
입학하다	to enter a school; an university
적성	aptitude; talent
전자통신학과	the department of electronic communication
존경하다	to respect
졸업하다	to graduate
지원 동기	the reason of applying
지원자	an applicant
집안 분위기	household atmosphere
편입하다	to transfer
학기	semester schedule
시험일정	test schedule; exam schedule
합격자 등록	the registration of accepted applicants
합격하다	to pass the exam; to get in; to be accepted
화합	a harmony; balance
휴학하다	to take a leave of absence
대학원에 진학하다	to enter a graduate school
명단을 확인하다	to check a list
수강신청을 하다	to register; to sign up for courses; classes
안내를 받다	to be guided; to be informed
어학연수를 가다	to go abroad for language training
연수를 받다	to be trained; to be educated
인턴 사원으로 일하다	to work as intern
취업 준비를 하다	job seeking; job hunting; job searching; lookig for employment
학점을 듣다	to take credits
학점을 따다	to receive credits; to earn credits
정신없다	be in a daze
