거래	transaction
경우	an occasion; a case
계좌이체	transfer to another account
금융기관	a financial institution
달러	a dollar
말일	the last day
명세표	a list of particulars; an itemized account; transaction list
무통장 송금	remittance without bankbook
방향	a direction
분실	loss; lost
생략	omission; leaving out
서랍	a drawer
세다	to count
수수료	a charge; a fee; service fee; transaction fee
수취인	a recipient
신고	a notice; notification; warning
얼른	quickly
엔화	yen
예금조회	deposit; saving inquiry
원화	won
위안화	yuan
이체하다	to transfer
잃다	to lose
자꾸	constantly
잔액조회	balance inquiry; checking the balance
최대한도	the maximum limit
출력	print
통장정리	updating one's passbook
현금인출기	automatic teller machine (ATM)
현금지급기	automatic teller machine (ATM)
화살표	the arrow
확인	confirm; check
어쩔 수 없다	be unavoidable; it cannot be helped; to be unfortunate
적금을 들다	open an installment saving account
-화	currency
환율이 내려가다	the exchange rate goes down
환율이 떨어지다	the exchange rate falls
환율이 오르다	the eschange rate goes up
환율이 올라가다	the exchange rate rises
