안색	one's complexion
몸살이 나다	suffer from fatigue/ aching all over
무리하다	to overdo
뭐니 뭐니 해도	after all
잃다	to lose (something)
과로하다	to work too hard
스트레스	stress
쌓다	to build up (stress)
풀리다	to relieve (stress)
받다	to receive (stress)
불면증	insomnia
비만	obessity
고혈압	high blood pressure
운동 부족	lack of exercise
혈압	blood pressure
체중	(body) weight
예문	example sentence
의견	an opinion/ idea
근육통	muscle ache
영원	forever. eternity
휴가	vacation (workers)
야근	overtime/ night shift/work
유혹	temptation/ seduction
뿌리치다	to repel/ shake off/ refuse
상쾌하다	to be refreshing
충고	advice
식욕	appetite
유지하다	to maintain/ preserve/ keep up
노력	effort
깨우다	wake someone up
체중이 줄다	to lose weight
스트레스가 풀리다	to relieve stress
근육이 생기다	to get muscle
열량을 소모하다	to consume calories
피로가 풀리다	to get rid of fatigue
피로를 느끼다	feel fatigued
열량	calories
빠지다	indulge
살이 찌다	to gain weight (not ㅊ)
체중이 늘다	to gain weight (not ㅅ)
다이어트	a diet
소비	consumption
장바구니	shopping basket
번거롭다	complicated
손이 가다	to require a lot of time/effort
대표적이다	to be representative
건강식	health food
김장철	the season for making kimchi
김장하다	to make kimchi
육류	meat
