체중	weight (not ㅁ)
동호회	club (outside school)
따라서	therefore/ so
일상생활	everyday life
수없이 많다	innumerable
동식물	fauna and flora
키우다	to care for (pets or plants)
풀다	to release (stress)
또한	also
과거	the past
조상	ancestor
이루다	to achieve or accomplish
공사과학	sci-fi
시야	one's mental outlook/ view
보기	example
부사	adverb
형용사	adjective
동사	verb
명사	noun
어히	vocabulary
빈칸	space/ blank
고르다	to choose
표시하다	to indicate
