동아리	school club
지다	to lose
이기다	to win
조사	research/ investigation inquiry
결과	result
에 따르면	according to
험하다	to be rugged
관광	sightseeing
감상	appreciation (passive watching)
촬영	photographing/filming
관람	watching (active participation eg sports)
오락	recreation/ pastime/ entertainment
활동	activities
유적지	historical landmarks
휴양지	resort/ tourist spots
이상	above/ more than
즐기다	To enjoy
기구	equipment
단독 주택	bungalow (single family house)
화초	flowering plants
과정	a process
활용하다	to make use of the time
스스로	by oneself
벗어나다	to get out of something
정도	Approximately/ about
근육	muscle
전통	Traditional
정물	stationary things
실력	ability/ talent
익숙하다	to be familar with/ use to
연휴	consecutive holidays
전시	to display/ exhibit
특히	especially
맛	taste (flavor)
기르다	to raise (animals)/ to grow (vegetables)
수수로	a fee
직접 화법	direct speech
간접 화법	indirect speech
한가한 시간	leisure/ spare time
재료	ingredients/ raw materials
단독	single/ individual/ seperate/ independent
꽃병	flower vase
화분	flower pot
월급	monthly salary
월세	monthly rent
비키다	to move aside
성공	success
노력	an effort/ hard work/ struggle
불가능한	impossible
몸무게	weight (not ㅊ)
