마구	recklessly/ carelessly
아끼다	prize/ value
이익	profit/ gain
돈을 얻다	to get/obtain money
주식	stock/ share
고아원	orphanage
미담	a praiseworthy anecdote
재산	a fortune
사회	community (society)
마음이 넓다	to be generous/ to have a big heart
배려하다	to be considerate towards someone/ to take care of
존경하다	to respect
흐뭇하다	to be pleasing/ satisfying
교육자	educator
정치인	politician
언론인	journalist
연예인	entertainer/ performer
사업가	Businessman
재주	talent/ skills
지도력	leadership ability
대표하다	to represent
경영하다	to manage/ conduct/ operate/ run/ plan
경제	Economics
언론	speech/ writing/ discussion
연예	entertainment/ performance
장학생	a scholarship student
세계적이다	to be global
지식	knowledge
인물 사람	a person/ a man/ a character
업적	achievements/ feat
발명	invention
지도자	a leader
