일정	schedule
대중	popular, public
소비자	consumer
속도	speed
청소년	teenager, adolescent
제도	system, regulation
처리	treatment
제출	presentation; submission; proposition;
안정	stability, stabilization
현장	place, spot
일부	some part, some portion
정신	attention, mind
결정	decision
관계자	authorized person
대표	representing, representative
태도	attitude, mind
연결	connection
최선	the best
실제	actually
제공	providing
상담	counseling
재산	property
예상	estimation, estimated
자세	pose
이웃	neighbor
비용	cost, expense
회원	member
전문	expert, terminology
절약	save (time, power)
연장	extension, renewal
