주요	main, major
지원서	application, employment application
색상	color
생물	creature, living thing
선거	election
강사	instructor, lecturer
객관적	objective
공모	contest
구조대	rescue team
늦잠	oversleeping
단체	group, organization
믿음	Belief
수입	income, import
시선	gaze, stare
신인	new face, new person
여부	yes or no
연말	end of the year, year end
예산	budget
학부모	parents (of students)
한계	limitation, limit
핵심	core, the point, important
협조	cooperation
추가	additional
태산	a mountain of work, a stack of work
통신	telecommunications
요청	request
유적	sentimental, precious property
이삿짐	items to be moved
인류	mankind
자식	children
