위험	Danger
작가	writer, author
상태	state, condition
실패	failure
대신(에)	instead of, substitute
학습	learning, studies
어려움	difficulty
관련	relation, involvment
평소	usually
진행	process, proceeding
인정	admit
자신감	Self-confidence
사항	question, change
제시	Presentation
상	prize, award
스스로	one's own, oneself
지역	place, region
자녀	children, child
정부	government
지원	support, sponser
비율	ratio, percentage
감정	emotion
빛	light
업무	work
현상	phenomenon
규모	nationwide, size
신경	nervous, insensible
예방	preventing, preventitive
책임	Responsibility
마찬가지(로)	like
