경우	case; occasion; circumstances
상황	condition, situation
사실	fact, truth, actually
남	others, other people
사회	society, community
고민	worry, anxiety, concern
노력	effort
참여	participation
효과	effect
예정	schedule
환경	environment, situation
의견	opinion, idea
선택	choice, selection
경제	economy
여성	women
성공	success
해결	Solution, settlement
행동	behavior, action
조사	investigation
실시	implementation, operation
전문가	expert, specialist
주의	attention
활동	volunteer work, movement
개발	development, exploitation
원인	reason, cause
부족	shortage, lack
교육	education
대상	targeting 
연구	Research
피해	victim, hurt
