답하다	to respond
경쟁하다	to compete
포함하다	to include
포함되다	to be included
체험하다	to experience
세탁하다	to do the laundry, to wash
절약하다	to save, to conserve
연장하다	to extend
홍보하다	to advertise
제한하다	to limit, to restrict
실험하다	to experiment
향상시키다	to improve
소비하다	to spend, to consume
수리하다	to repair
교환하다	To exchange
구매하다	to buy, to purchase
도전하다	to challenge
연주하다	to perform, to play
고생하다	to suffer, to have a difficult time
성장하다	to develop, to grow-up
출퇴근하다	to communte (to/from work)
평가하다	to evaluate, to review
비교하다	to compare with/to
설득하다	to persuade
극복하다	to overcome
근무하다	to work
환영하다	To welcome
통행하다	to pass, to go through
집중하다	to focus, to concentrate
감상하다	to enjoy, to appreciate
