비하다	to compare with
활동하다	to move
다하다	to do, to make
증가하다	to increase
감소하다	to decrease
피하다	to avoid, to take shelter from
노력하다	to make/give effort
다양하다	To be various
성공하다	To succeed
교육하다	to educate
행동하다	to behave, to act
참여하다	to participate
선택하다	to select, to choose
고민하다	to worry
개발하다	to develop
조사하다	to investigate, to research
해결하다	to solve
모집하다	to recruit
예정하다	to be scheduled
실시하다	to conduct, to implement
확인하다	to verify, to connect
주의하다	to be careful, to take heed
학습하다	to learn, to study
활용하다	to utilize, to use
연구하다	to research
구입하다	to purchase
지원하다	to support, to apply
기대하다	to expect, to anticipate
주장하다	to insist
처리하다	to settle, to process, to resolve
