결식아동	Poorly fed children
구호	relief
구호품을 보내다	to send relief supplies
기념하다	to commemorate
기부하다	to donate
끼니	Daily meals
난민	refugee
노숙자	the homeless
누리다	to enjoy
단체	group
독거노인	senior citizen
뜻하다	to mean
모금을 하다	to raise money
무료 급식을 하다	to serve free meals
무의탁	Having no one to depend on
본부	the headquarters
불우 이웃	needy neighbors
비비다	to mix
상징	symbol
성금을 내다	to contribute money
소년 소녀 가장	a boy and a girl who make a living for their family
손길	helping hand
쇠다	to celebrate
시각 장애인	a blind person
신비하다	to be mysterious
실천하다	to put the idea into practice
십시일반	making a united effort to help a person
의지하다	to depend on
이재민	victims of disaster
정성	true heart
제대로	as it should
풍요	richness
후원하다	to support
