감동적	Touching
감성	Sensibility
관리하다	to manage
깨닫다	to realize
대표적	Representative
명문	Distinguished family or school
무조건	Unconditionally
반숙하다	to be half-boiled
방해하다	to disturb
비결	Secret
산만하다	to be distracted
생생하다	to be vivid
소음	Noise
심정	One’s feeling
암기하다	to memorize
엄격하다	to be strict
여유	time
완숙	hard-boiled
유사하다	to be similar
인간애	humanity
일깨우다	to make a person realize something
자아	self
잡념	Distracting thoughts
제안	proposal
조절	regulation
주입식 교육	cramming method of education
줄거리	outline
중계	to get broadcasting
중얼중얼	Murmuring
진학하다	to go on to the next stage of education
집중력	one’s power of concentration
짜증 내다	to get irritated
찡그리다	to make a grimace
차라리	Rather (than)
참교육	Authentic education
청소년	Teenager
활용하다	to utilize
효과적이다	to be effective
