,0,1
13,다정하다,to be kind
14,단독,separate
15,대를 잇다,to carry on a family line
16,대가족,a big family
17,동거,living together
18,동등하다,to be equal
19,보편적,universal
20,부권,paternal rights
21,부양,support
22,분가하다,to establish oneself in a new family
23,산소,grave
24,상,mourning
25,상처,wound
26,소득,income
27,소중하다,to be important
28,약화되다,to be weak
29,오해,misunderstanding
30,의무,duty
31,의식,consciousness
32,인정되다,to be recognized
33,일반적,general
34,입양하다,to adopt
35,자녀,children
36,재혼,remarriage
37,전통적,traditional
38,절대적,absolute
39,제도,system
40,존중하다,to respect
41,증대되다,to be enlarged
42,지원,support
43,지출,expense
44,짜증,annoyance
45,창의성,creativity
46,행가족,nuclear family
47,혈연 의식,kinship by ties
48,형성되다,to be formed
49,형태,"form, shape"
50,화목하다,to be in harmony
51,효도를 하다,to be good to one’s parents
0,결식아동,Poorly fed children
1,구호,relief
2,구호품을 보내다,to send relief supplies
3,기념하다,to commemorate
4,기부하다,to donate
5,끼니,Daily meals
6,난민,refugee
7,노숙자,the homeless
8,누리다,to enjoy
9,단체,group
10,독거노인,senior citizen
11,뜻하다,to mean
12,모금을 하다,to raise money
13,무료 급식을 하다,to serve free meals
14,무의탁,Having no one to depend on
15,본부,the headquarters
16,불우 이웃,needy neighbors
17,비비다,to mix
18,상징,symbol
19,성금을 내다,to contribute money
20,소년 소녀 가장,a boy and a girl who make a living for their family
21,손길,helping hand
22,쇠다,to celebrate
23,시각 장애인,a blind person
24,신비하다,to be mysterious
25,실천하다,to put the idea into practice
26,십시일반,making a united effort to help a person
27,의지하다,to depend on
28,이재민,victims of disaster
29,정성,true heart
30,제대로,as it should
31,풍요,richness
32,후원하다,to support
0,가정 교육,home education
1,개선하다,to improve
2,객관식,objective questions
3,거치다,to go through
4,경쟁,competition
5,경제 성장,economic growth
6,고민하다,to worry
7,공교육,public education
8,공립,public
9,공정하다,to be fair
10,과제,task
11,교육 과정,Education curriculum
12,교육열,Enthusiasm for education
13,국립,national
14,국토,national territory
15,극기 훈련,boot camp
16,근간,basis
17,기말고사,final examination
18,길들여지다,to become habituated
19,내신 성적,Academic reports
20,논술 시험,Essay test
21,단답형,short answer question
22,대안 교육,Alternative education
23,도임,to indtroduce
24,독립하다,to become independent
25,모의고사,practice examination
26,무시험제,system with no examination
27,바람직하다,to be desirable
28,분위기,Atmoshphere
29,비중,relative importance
30,비판,criticism
31,사교육,private education
32,사립,private
33,사지선다형,multiple choice question
34,서술형,Descriptive answer question
35,소풍,picnic
36,수학 능력 시험,CSAT
37,수학여행,Field trip
38,역할,role
39,엿,Korean hard taffy
40,요령,knack of doing something
41,운영 주체,Operating principal
42,위주,Putting something first
43,유형,type
44,의무 교육,Compulsory education
45,인적 자원,human resources
46,자연 자원,Natural resources
47,전환되다,to be converted
48,정부,government
49,제정하다,to establish
50,조화를 이루다,to archive harmony
51,주관식,Subjetive questions
52,중간고사,midterm examination
53,중시하다,to value much of something
54,지옥,hell
55,진정하다,to be true
56,찍다,to prick
57,찹쌀떡,Sticky rice cake
58,창의적,creative
59,채점,marketing
60,추억,memory
61,축제,festival
62,치열하다,to be intense
63,태교,Prenatal education
64,평생 교육,Lifelong education
65,풍물,Instruments for Korean traditional folk music
66,풍부하다,to be abundant
67,학력 평가,academic evaluation
68,학력,educational background
69,학습,learning
70,학제,educational system
71,합창 대회,Chorus contest
0,격려,Encouragement
1,고르다,to be even
2,고생하다,to suffer
3,그리움,longing
4,그림자,shadow
5,기색,facial expression
6,깜깜하다,to be dark
7,눈에 선하다,to have vivid recollection of something
8,당장,Immediatley
9,대단하다,to be great
10,동감,agreement
11,등잔불,Lamplight
12,맹자,Mencius
13,명필,Noted calligrapher
14,모범을 보이다,to show a fine example
15,벌컥,all of a sudden
16,비뚤다,to be crooked
17,비치다,to be reflected
18,비판하다,to criticize
19,솜씨가 있다,to be skillful
20,실업자,unemployed
21,썰다,to cut up
22,엄격하다,to be strict
23,염려,worry
24,웬일인지,Without knowing why
25,이름나다,to be famous
26,일지가 있다,to have some truth
27,일화,Anecdote
28,잠자코,without a word
29,장사,trade
30,재주가 뛰어나다,to be talented
31,자나치다,to be excessive
32,천재적,to be gifted
33,평범하다,to be common
34,푹,Bow one’s head far down
35,학비,Tuition
