가사 분담	share of housework
가사 노동	housework
걸림돌	obstacle
견디다	to endure
경향	tendency
과반수	majority
기관	agency
기혼자	married person
달하다	to reach
대상	to agree with
따갑다	to be tingling
못마땅하다	to be dissatisfied
무시하다	to disregard
미만	under
배우자	spouse
분석하다	to analyze
불과하다	to be no more than
살림하다	to manage a household
상	image of a role model
상당히	considerably
성별	gender
시선	attention
실시하다	to enforce
여론 조사	survey of public opinion
연봉	annual salary
위로	consolation
응답자	answerer
이혼하다	to divorce
전문	speciality
전문가	expert
전업주부	full time housewife
절반	half
종전	before
주제	main subject
차지하다	to occupy
파악하다	to grasp
해고되다	to be dismissed
