격려	Encouragement
고르다	to be even
고생하다	to suffer
그리움	longing
그림자	shadow
기색	facial expression
깜깜하다	to be dark
눈에 선하다	to have vivid recollection of something
당장	Immediatley
대단하다	to be great
동감	agreement
등잔불	Lamplight
맹자	Mencius
명필	Noted calligrapher
모범을 보이다	to show a fine example
벌컥	all of a sudden
비뚤다	to be crooked
비치다	to be reflected
비판하다	to criticize
솜씨가 있다	to be skillful
실업자	unemployed
썰다	to cut up
엄격하다	to be strict
염려	worry
웬일인지	Without knowing why
이름나다	to be famous
일지가 있다	to have some truth
일화	Anecdote
잠자코	without a word
장사	trade
재주가 뛰어나다	to be talented
자나치다	to be excessive
천재적	to be gifted
평범하다	to be common
푹	Bow one’s head far down
학비	Tuition
현명하다	to be wise
훌륭하다	to be excellent
희미하다	to be dim
