교실	classroom
극장	movie theater
대사관	an embassy
문구점	a stationary store
병원	a hospital
수영장	swimming pool
은행	a bank
서점	a bookstore
식당	a restaurant
학교	a school
도서관	a library
화장실	bathroom
회사	an office (ㅎ...)
실례합니다	Excuse me / Pardon me
