공원	a park
근처	nearby
빌딩	building
열쇠	a key
저기	there
지갑	a purse, wallet
편의점	a convenience store
산책하다	to take a walk, stroll
대학교	university
혹시	maybe
휴게실	a lounge, a room for rest
도착하다	to arrive
배우다	to learn
돈을 찾다	to withdraw money from a bank
일찍	early
