강의	lecture
성적	grade
성적을 잘 받다	to get good grades
수료하다	to finish (a course)
입학하다	to enter (school)
졸업장	degree
캠퍼스	campus
학번	(university) entrance year
관심	interest
떡볶이	spicy rice cake
문구류	stationary
미용실	hair salon
방청객	audience
시절	time period
유행	trend
유행하다	to be trendy
주제	the theme
지사장	branch manager
출연자	a guest (on a talk show)
진행하다	to host (a talk show)
국제 대학원	Graduate School of International Studies
꿈을 이루다	to realize one's dream
방송 아카데미	broadcasting academy
볼일이 있다	to have something to do
해외 연수	overseas study and training
맞긴 한데.....	that's right but...
이게 얼마 만이에요?	How long has it been (since we last met)?
너희	you
데모	demonstration
막걸리	Korean rice wine
돌아다니다	to walk around
머리를 기르다	to have long hair
사회 문제	social problems
그렇죠?	Isn't that so?
결론	conclusion
대상	grand prize
대상을 받다	to get the grand prize
이불	blanket
이불을 뒤집어쓰다	to hide under a blanket
제도	policy
철학	philosophy
후회	regret
후회하다	to regret
다투다	to argue with
반대하다	to oppose
비다	to be empty
빈 강의실	empty classroom
쓰러지다	to fall over
응원하다	to support
(대해서) 토론하다	to discuss
화해하다	to reconcile with
관계없다	to have no relationship (effect)
몰래	in secret
무엇보다도	more than anything else
소홀히 하다	to neglect
