변명하다	to explain apologetically
사과하다	to apologize
깜빡 잊어버리고 말을 못 했어	I forget so I didn't say anything
무슨 일이 생긴 줄 알았어요	I thought something happened to you
날	day
청소하기로 한 날	cleaning day
발표	presentation
보고서	report
세미나	seminar
자료	data
짐	load
짐을 싸다	to pack
후문	back gate
걸레질하다	to mop
세탁기를 돌리다	to use a washing mashing to do laundry
정신이 없다	to not be able to think straight
동창	alumni
동창회	an alumni gathering
환자	a patient
돌보다	to take care of
키우다	to raise
갑자기	suddenly
문자 메시지	text message
그랬으면 좋겠다	It would have been good if that happened
지금 가고 있는 중이야	I'm on the way
상황	situation
깨닫다	to realize
두리번거리다	to look here and there
웃다	to laugh
귀엽다	to be cute
부끄럽다	to be embarrassed
억지로	by force
종종	sometimes
한참	for a while
어느 날	one day
연락이 안 돼서 걱정했어요	You didn't call so I was worried
