,0,1
19,손을 칼에 베다,to get cut on the hand
20,어떻게 하다가 그랬어요?,How did that happen?
21,규칙적,regular
22,발목,an ankle
23,접수,registration (hospital)
24,접수처,registration desk
25,접수를 하다,to register
26,접수를 받다,to register someone
27,진찰,medical check-up
28,진찰을 받다,to get a medical check-up
29,처방,prescription
30,처방하다,to prescribe
31,환자,a patient
32,내려가다,to go down
33,급하다,to be in a hurry
34,급하게 먹다,to eat hurriedly
35,차다,to be cold
36,찬 음식,cold food
37,렌즈를 끼다,to wear contact lenses
38,약을 짓다,to make medicine
39,많이 놀랐겠어요,You must have been very surprised
40,어디 좀 봅시다,Let's take a look
41,소화제,digestive medicine
42,식후,after a meal
43,약사,pharmacist
44,위,stomach
45,위염,gastritis
46,자극적,stimulative
47,처방전,prescription
48,치료,medical treatment
49,치료를 받다,to get treatment
50,음식이 부드럽다,to be bland
51,꾸준히,steadily
52,3일치,3 days of medicine
53,뭐 잘못 드셨어요?,Did you eat something bad?
54,아이고,Oh my gosh!
55,어떻게 오셨어요?,What brings you here?
56,지금 가 봐야겠어요,I have to go now
57,건강식품,health food
58,달리기,running
59,마찬가지,the same
60,문화생활,cultural life
61,사우나,sauna
62,수,the number
63,수다,chat
64,술자리,meeting for a drink
65,영양제,nutrition supplement
66,육체,the body
67,인삼,ginseng
68,전부,everything
69,최근,most recent
70,한약,oriental medicine
71,흡연,smoking
72,복용하다,to take medicine
73,조사하다,to research
74,아깝다,to feel that something is wasted
75,돈이 아깝다,to feel that money is wasted
76,정신 건강,mental health
77,스트레스가 쌓이다,to have stress pile up
78,스트레스를 풀다,to relieve stress
79,스트레스 해소 방법,how to relieve stress
80,인기를 끌다,to gain popularity
0,국사,noodles
1,닭 칼국수,chicken noodle soup
2,나물,cooked and seasoned vegetables or uncooked vegetables
3,돌솥 비빔밥,mixed rice and vegetables in a hot stone pot
4,콩나물 국밥,bean sprout soup with rice
5,전,korean pancake
6,탕,soup
7,갈비탕,beef soup
8,해물탕,seafood soup
9,한정식,Korean traditional meal involving many side dishes
10,고추장,red pepper paste
11,밀가루,flour
12,파,green onion
13,해물,seafood
14,덜다,to put in a smaller bowl
15,비비다,to mix
16,싸다,to wrap
17,상추에 싸다,to wrap in romaine lettuce
18,찍다,to dip (in sauce)
19,양념간장에 찍다,to dip into a mixed sauce made from soy sauce and other ingredients
20,둘이 먹다가 하나 죽어도 모를 만큼 맛있어요,It was so delicious that if two people were eating and one died the other wouldn't notice
21,뭐 드실래요?,What would you like to eat?
22,뭘로 만든 거예요?,What is this made out of?
23,아무거나 다 잘 먹어요,I can eat anything
24,좀 덜 맵게 해 주세요,Could you make it less spicy?
25,국물,broth
26,후식,a dessert
27,메뉴,menu
28,메뉴판,menu (bill of fare)
29,빼다,to take out
30,돼지고기 빼고,without pork
31,요청하다,to request
32,부족하다,to be lacking
33,덜,less
34,오래,long time
35,자세히,specifically
36,불판을 갈다,to change the grill
37,더위,heat
38,복날,'the dog days' of summer
39,초복,the first dog day
40,중복,the middle dog day
41,말복,the last dog day
42,종류,kind
43,줄,line
44,줄을 서다,to stand in line
45,차례,turn
46,힘이 생기다,to gain strength
47,네? 뭐라고요?,Huh? What did you say?
48,닭이 다 떨어졌어요,We are all out of chicken
49,"아, 그렇군요","Oh, I see"
50,"이야기 좀 하면서 기다리지요, 뭐","Eh, we can just talk while we wait"
51,이제 우리 차례예요,It's our turn
52,점심시간이 다 됐네요,It's time to eat lunch
53,속,stomach
54,속이 불편하다,to have an upset stomach
55,속이 시원하다,to feel stomach relief
56,달콤하다,to taste sweet
57,거의,almost
58,그동안 잘 지내셨어요?,Have you been well?
59,끓다,to boil
0,날씨,weather
1,바람이 강하다,to be very windy
2,쌀쌀하다,to be chilly
3,안개가 끼어 있다,to be foggy
4,태풍이 오다,the typhoon is coming
5,태풍이 지나가다,the typhoon has pass
6,햇빛이 강하다,to be very sunny
7,흐리다,to be cloudy
8,여행지,travel destination
9,코스,itinerary
10,풍경,scenery
11,볼거리,things to see
12,대나무 숲,bamboo forest
13,동굴,cave
14,어시장,fresh fish market
15,해수욕장,beach
16,호수,lake
17,일기 예보,weather report
18,최고 기온,the highest temperature
19,최저 기온,the lowest temperature
20,레스토랑,a restaurant
21,성당,Catholic Church
22,한우,Korean beef
23,한우가 부드럽다,Korean beef is tender
24,메다,to carry
25,가방을 메다,to carry a bag
26,조언하다,to advise
27,이/가 (보다) 낫다,to be better than
28,부지런하다,to be diligent
29,맛이 좋다,to taste good
30,여러 군데,many places
31,차가 밀리다,to be lined up
32,향이 좋다,to smell good
33,갔다 와서 보자,I will see you when you get back
34,재미있게 놀다 와,Have fun
35,낮,daytime
36,동해안,the east coast
37,전국적,the entire country
38,맞다,to be right
39,틀리다,to be wrong
40,취소하다,to cancel
41,22도,22 degrees
42,돈을 들이다,to spend money
43,시간을 들이다,to spend time
44,둘이서 갈게요,the two of us will go
45,새벽,dawn
46,시게탑,a clock tower
47,패스트푸드점,a fast food restaurant
48,해,the sun
49,해가 뜨다,to rise
50,잡다,to catch
51,아쉽다,to feel a missed opportunity
52,밤새,all night long
53,방금,just now
54,땀이 나다,to be sweaty
55,살아 있다,to be alive
56,살아 있는 생선,live fish
0,배우,actor
1,가요,Korean pop song
2,예매하다,to buy (ticket) in advance
3,미래,future
4,인삼주,ginseng liquor
5,민박 집,bed and breakfast
6,돌,stone
7,잡다,to catch (fish)
8,물오징어,squid
9,매운탕,spicy fish stew
10,마른 오징어,dried squid
11,자연,nature
12,느낌,feeling
13,파전,green onion pancake
14,설렁탕,beef soup with rice
15,들어 있다,to contain
16,뜨겁다,to be hot
17,뜻,meaning
18,장마철,the rainy season
19,겁이 많다,to be cowardly
20,이곳저곳,here and there
21,생신,birthday (hon)
22,소설,novel
23,비다,to be unoccupied
24,모습,appearance
25,젖다,to be wet
0,비타민,vitamin
1,깜빡,for a moment
2,우리들,we
3,애들,guys
4,파마를 하다,to get a perm
5,스트레스가 풀리다,one's stress is relieved
6,PD,producer
7,꽤,quite
8,각자,each one
9,토크 쇼,talk show
10,진행자,host(of a talk show)
11,너희들,you guys
12,축제,festival
13,추측하다,to guess
14,상,prize
15,한국어 능력 시험,Test of Proficiency in Korean
16,일자리,job
17,방송사 리포터,reporter for a broadcasting company
18,상대방,the other person
19,도표,chart
20,하프 마라톤 대회,half marathon
21,떨어지다,to be far apart
22,송년회,year-end party
23,졸다,to doze off
24,빨개지다,to blush
25,노인,an old person
26,세계,the world
27,예술가,artist
28,잘못을 하다,to do something wrong
29,뮤지컬 배우,musical actor
30,아나운서,announcer
31,갖다,to keep
32,숨바꼭질,hide and seek
33,가난하다,to be poor
34,그립다,to miss
35,소원,one's wish
36,판단,judgement
37,상관,relation
38,눕다,to lie down
39,취하다,to get drunk
40,홈 팀,home team
41,눈물이 나다,to tear up
42,수염,beard
43,안타깝다,to feel sorry
