배우	actor
가요	Korean pop song
예매하다	to buy (ticket) in advance
미래	future
인삼주	ginseng liquor
민박 집	bed and breakfast
돌	stone
잡다	to catch (fish)
물오징어	squid
매운탕	spicy fish stew
마른 오징어	dried squid
자연	nature
느낌	feeling
파전	green onion pancake
설렁탕	beef soup with rice
들어 있다	to contain
뜨겁다	to be hot
뜻	meaning
장마철	the rainy season
겁이 많다	to be cowardly
이곳저곳	here and there
생신	birthday (hon)
소설	novel
비다	to be unoccupied
모습	appearance
젖다	to be wet
