일학년	freshman
이학년	sophomore
삼학년	junior
사학년	senior
과	Lesson, chapter
대학생	college student
미국	the United States
사람	person, people
인사	greeting
학년	school year
학생	student
한국	Korea
저	I (humble)
나	I (plain)
일	one (Sino-Korean)
이	two (Sino-Korean)
삼	three (Sino-Korean)
사	four (Sino-Korean)
안녕하다	to be well ('Hi'; 'Hello'; 'How are you?')
이다	to be (equation)
도	also, too (particle)
은/는	topic particle ('as for')
선생님	teacher
씨	attached to a person's name for courtesy
영국	United Kingdom
영어	the English language
이름	name
일본	Japan
중국	China
클래스	Class
한국어	the Korean Language
네	yes; I see, okay
아니요	no
이/가	Subject Particle
그렇다	to be so
반갑다	to be glad
아니다	to not be (negative equation)
뭐	what
