과목	course, subject
공원	park
랩	lab
백화점	department store
생일	birthday
서점	bookstore
선물	present, gift
쇼핑	shopping
연습	practice
오래간만	after a long time
운동	exercise
일	work
저녁	evening; dinner
점심	lunch
커피숍	coffee shop, cafe
테니스	tennis
햄버거	hamburger
가르치다	to teach
사다	to buy
치다	to play (tennis, etc.)
에	to (destination)
에서	In, at (dynamic location)
안녕히	In peace
그런데	by the way
가게	store
오전	A.M.
옷	clothes
월요일	Monday
화요일	Tuesday
수요일	Wednesday
목요일	Thursday
금요일	Friday
토요일	Saturday
일요일	Sunday
정치학	political science
이번	this time
학기	semester, academic term
걷다	to walk
듣다	to listen; to take a course
좋아하다	to like
분	minute
시	hour, o'clock
같이	together
언제	when
에	at, in, on (time)
하고	with
~(으)러	in order to
