질서	order (keeping order)
따라하다	to follow, imitate, copy
규칙	rule
편리하다	to be convenient
어기다	to break, violate, disobey
범칙금	fine, penalty
피해	harm, damage
무단 횡단	jaywalk
교통 법규	traffic rules
안전모	safety helmet
잡히다	be grabbed, seized, caught
지저분하다	to be dirty, messy, unclean
보행자	pedestrian
과속	speeding
무단 투기	litter
음주 운전	drunk driving
경범죄	misdemeanor
생후	...years old
등록하다	to register
벌금	penalty, fine
포함되다	to be included
처벌	punishment
항목	article, clause, provision, item
스토킹	stalking
허위광고	false advertising
암표	illegal ticket
확대되다	expand, escalate
애완견	pet dog
대행 기관	an agency
과태료	levy, charge, fine
부과되다	to be levied, charged, fined
총액	total amount
외부	outside
전면	front-side
금연	no smoking
실시되다	to take effect
공공장소	public place
고치다	to repair, fix
독자	reader
요구하다	to demand
목줄	leash, collar
배설물	waste, remains
치우다	to tidy up, straighten up
저지르다	to commit/make a mistake or do smth bad
신고하다	to report
소란스럽다	to be noisy, uproarious, commotion
위반하다	to violate, infringe
층간 소음	noise complaint issue
우측 보행	walk on the right side
새치기	cut/butt in line
흡연	smoking
출입	access to, enter
금지	prohibition, forbid, ban
낙서하다	scribble, graffiti, doodle
질서를 지키다	to keep/maintain order
피해를 주다	to do damage to
안전벨트를 매다	to fasten/wear a seatbelt
