야근	overtime at night
전환	to change/switch
실망하다	to be disappointed
입석	standing room
외근	outdoor
결재	approval, authorization
업무 일지	business log
영업	business sales
누구나	anyone
바로	straight, upright, immediately, right now
일단	first, once
태도	attitude, manner, demeanor
관리	administration
이외	expect for, besides
비법	secret method
개인적	personal, individual
대다수	majority of mass, bulk
직함	title (of person)
수직관계	vertical relationship
대인관계	personal relationships
보고	report/ brief
근무하다	to work, be on duty, at work
급여	pay, wage, salary
주급	weekly pay
일당	daily wage
수당	extra pay, benefit
연봉	annual income, salary
상여금	bonus
상사/동료	superior, boss, coworkers
부하직원	junior staff
출장을 가다	to go on a business trip
보고서를 작성하다	to write up a report
외근을 나가다	to go outdoors
휴가를 내다	to take time off
