배송되다	to be shipped/delivered
인터넷 후기	internet review
골고루	evenly, equally
폭력적	violent, abusive
채팅	online, chatting
유출되다	to flow out, leak (info), to drain
해치다	to harm, hurt, kill
결제	payment, settlement
계죄이체	account transfer
배송료	shipping charge
수량	amount, quantity, volume
내려 받다	to download
검색하다	to search/retrieve (info)
화상 전화	video/online telephone
올라오다	come up, ascend
부정확	inaccurate, incorrect
유해	harmful, noxious, corpse, body, remains
장바구니	shopping cart
삭제	delete, eliminate
정보를 검색하다	to search/look up info
자료를 올리다	to upload data
영화를 내려 받다	to download a movie
중독이 되다	to become addicted 
건강을 해치다	to hurt/harm your health
개인 정보가 유출되다	personal info was leaked
