눈에 안 차다	마음에 안 들다
눈이 빠지도록 기다리다	몹시 애타게 오렛동안 기다리다
한눈을 팔다	딴 짓을 하다, 외도를 하다
눈을 붙이다	잠시 동안 잠을 자다
입이 짧다	음식을 심하게 가리거나 적게 먹다
얼굴이 반쪽이 되다	병이나 고통 따위로 얼굴이 몹시 마르고 야위게 되다
코 묻은 돈	어린이들이 가진 얼마 안 되는 돈
콧대를 꺾다	상대편의 자만심이나 자존심을 꺾어 기를 죽이다
등을 돌리다	뜻을 같이하던 사람이나 단체와 관계를 끊고 배척하다
머리가 잘 돌아가다	어떤 문제의 해결책을 잘 생각해 내다
귀에 못이 박히다	같은 말을 여러 번 듣다
배꼽이 빠지다	너무 심하게 웃어서 바가 아프다
