생성 시기	time of creation
얽매이다	to be restrained by, shackled or fettered down by, be occupied with
경시	contempt, negligence, disdain, slight
적대시하다	to show hostility towards, show enmity towards
빤히	obviously, evidently
권위주의	authoritarianism
집단주의	groupism, collectivism
평등주의	egalitarianism
개인주의	individualism
반감	hostility, antagonism, animosity, antipathy
운이 트이다	for one's fortunes to change for the better
솔선수범	to lead by example, take the lead or initiative
복귀	return, comeback
