소비자물가지수	consumer price index
통계청	National Statistical Office
개편되다	to be reorganized, overhauled
단명	to die young, die early
경제 지표	economic indicator, business index
선정하다	to single out, select, choose
변화를 거듭하다	to be repeat change, constantly change
장수하다	to live a long life
산정	computation, calculation, estimate, assessment
품목	item
생활상	life phase
무선호출기	pager, beeper
