먹이사슬/먹이 피라미드	food chain, food pyramid
농축	concentrate, enrichment
일례로	for example
면적	area, extent
뒤섞이다	to be blended together without order
중금속	heavy metal
유해 물질	toxic substances, harmful substances
상위/하위	high class/low class
