식량 자급률	degree of food self-sufficiency
잡곡	miscellaneous cereals or grains, corn
급락하다	to plunge, collapse, crash, nosedive
짚다	to point, indicate; 손을 바닥/벽 등에 대다
농지 면적	area of farmland
