재고 상품	commodities in stock
영세하다	1) petty, small (2) baptism or christening
대목	1) busy season, rush (2) part, passage (ie of a book)
위주	putting something first in importance
마음이 째째하다	마음이 좁다
짜다	짜증나게 울다
불매운동	boycott
