근거	grounds, basis
야사	unofficial history
전자/후자	the former/the latter
분분하다	to be divergent, different, diverse
학계	academia, the academic world
일컫다	to call, name, refer to
차츰	gradually, slowly, by degrees
표기	write (written), mark
진위 여부	authenticity
심심치 않게	to be easy to X, happen often
입에 오르내리다	to be on everybody's lips
왕조	dynasty
-에 걸맞다	suitable (for), fit (for)
전국 방방곡곡	all over the country
명당자리	propitious site, great location (for a grave)
훤히 트이다	to have nothing blocking it, be open
채찍질	whipping, lashing, urging on
미련하다	to be stupid, foolish, silly
인싸	(slang): insider
꼰대	(slang): naggy old person
