육지	land, shore
해돋이	sunrise, sunup
특산품	1) excellent choice (2) (regional) specialty
오일장	traditional market that opens once every five days
축소	reduction, cut, slash
쑥	mugwort
고인돌	a dolmen (ie Stonehenge): 유의어: 지석묘
지석묘	dolmen 유의어: 고인돌
