답사	field investigation
꼴딱	100%, completely (colloquial)
구체적	detailed, concrete, specific
손에서 놓을 수가 없다	to be unable to put something down
얽히다	to get tangled, become entangled in
길잡이	guide (i.e. a guide book)
웬만큼	(하다): to do good at something (not good enough for professional, not as bad as an amateur), pretty good
막상	in reality, really, actually
이왕	already; now that; since
하회탈	Ha Hwe Masks (unique because they disconnect at the jaw and allow dancers to mimic laughing
세계문화유산	World Heritage
등재되다	to be registered or recorded as, to be listed as
