합리적	logical
기회비용	opportunity cost
매몰비용	sunk cost
지불되다	to be paid
회수하다	1) to collect (on), (2) to recall, reposses
따분하다	to be boring, dull, tedious
보상 심리	compensation mentality, napoleonic complex
거론되다	to be mentioned for, be named or charged in
