불거지다	to stick out, bulge
움직임이 일다	for a new (movement) wave to erupt
도란도란 이야기를 나누다	to talk together in murmurs, whispers
절제	moderation, self-control, restraint, moderation
배려	consideration for others
인성	character personality
되살리다	to revive, resuscitate
힘을 쏟다	to do one's best, give one's all
마음가짐	one's mental attitude, state of mind
기반	base, footing, foothold, groundwork
건전하다	to be sound, healthy, wholesome
초석	cornerstone, foundation
