사회적 비용	social cost
부양	1) support (2) floating, floatage
출산율	birthrate
부담률	burden ratio
고령	old age, advanced age
진입하다	to enter, go into
급격히	rapidly, sharply
둔화되다	to slow down
막대하다	to be huge, enormous, incalculable
가중되다	to be increased, raised, added to
