나비 효과	butterfly effect
의존도	dependence, reliance
비례	proportion
기상학자	meteorologist
미미하다	to be slight, insignificant, microscopic
강타하다	to hit hard, belt, whack
극심하다	to be severe, intense, extreme
철강	steel
