소유주	an owner, possessor
낙인	branding iron, brand
인식도	level of awareness, level of perception
호감도	level of likeability
신뢰도	level of trust
긍지	pride
대내적/대외적	internally or domestically/foreign or outside
관광객 유치	attracting tourists
수출 증대	increase exports
상존하다	to constantly be present or exist, to still be in existence
대치	confrontation, stand face to face with
근시안적	short sighted, myopic
