일대기	one's life story, biography
수상	1) prime minister (2) be awarded a prize
업적	achievement, business results
민주주의	democracy
정착시키다	to establish, set up, settle, fixate
기여하다	to contribute (to/towards)
공로	service, contribution, meritorious deed
적대적	hostile, antagonistic
