*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
주다	1) present 2) give 3) give <emotion> to someone
죽다	1) die, perish 2) extinguish 3) lose power
지내다	1) live, spend time 2) associate as friend etc 3) hold a ceremony
짓다	1) make/build sth 2) compose 3) make a facial expression
차다	1) be full 2) kick 3) to be chilly,cold
차리다	1) prepare,set 2) open,start up 3) come to one's senses
치다	1) to hit,strike 2) to play a music instrument 3) to exercise [depends on music instrument and exercise]
타다	1) ride,get on 2) exercise [ie ski] 3) burn,suntan 4) get anxious
터지다	1) burst,pop 2) crack 3) explode
풀다	1) blow off steam,resolve 2) solve 3) unwrap, unpack
풀리다	1) untie, loose 2) lift,clear (as in solved) 3) to be/get solved
피다	1) bloom, blossom 2) conditions get better 3) smile
피우다	1) light, burn 2) smoke 3) make trouble/be troubled
흘리다	1) cry, sweat, bleed, drool 2) carelessly drop/lose sth 3) spread rumous,spill the beans (for others to hear)
*** 반의어 - Antonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/3/)
가까이	멀리
가늘다	굵다
가입하다	탈퇴하다
간단하다	자세하다
갇히다	탈출하다
(눈을) 감다	뜨다
강하다/세다/튼튼하다	약하다
같이	달리
거절하다	받아들이다
걱정하다	안심하다
검다	희다
게으르다	lazy, idle
겸손하다	거만하다
계속하다	그만하다 / 그만두다
고백하다	감추다
고용하다	해고하다
공통점	차이점
관심	무관심
구입	판매
굽히다	젖히다
귀하다	천하다
금지하다	prohibit, ban, forbid
기쁨	슬픔
기억나다	잊어버리다
깨끗하다	지저분하다
꽂다	뽑다
(돈을) 꾸다 / 빌리다	갚다
끄다	켜다
끊다	잇다/연결하다
끼다	빠지다
나서다	물러서다
나타나다 / 드러나다	사라지다
낙천적	비관적
날씬하다	뚱뚱하다
낭비하다	to waste, dissipate
(목소리를) 낮추다	높이다 / 올리다
낯설다	unfamiliar (adj)
내부	외부
녹다	얼다
느긋하다	급하다
늘다	줄다
늘리다	줄이다
다정하다	무뚝뚝하다
담다	덜다
담다 / 넣다	꺼내다
당황하다	태연하다
대량	소량
대출하다	반납하다
대형	소형
던지다	받다
데우다	식히다
동의하다	반대하다
드물다	흔하다
떠들썩하다 / 시끄럽다	조용하다
떼다	붙이다
똑똑하다	smart, clever, bright, intelligent
뚜렷하다	흐릿하다
뜨다	가라앉다
막다	뚫다
맑다	흐리다
(짐을) 맡기다	찾다
모자라다	남다
몰려들다	흩어지다
무려	고작 / 겨우
미루다	당기다
밉다	사랑스럽다
바쁘다	한가하다
뱉다	삼키다
보태다	덜다
부드럽다	거칠다
부정	긍정
부족하다	충분하다 / 풍부하다
(시험에) 붙다	떨어지다
비다	차다
빌리다	돌려주다
서투르다	능숙하다
선명하다	흐릿하다 / 희미하다
선배	후배
선진	후진
성공하다	실패하다
소극적	passive, half-hearted
소중히	함부로
손해	이익
수입하다	수출하다
(고개를) 숙이다	들다
숨기다 / 감추다	드러내다 / 표현하다
슬퍼하다	기뻐하다
시들다	싱싱하다
(속이) 시원하다	답답하다
쓰러지다	일어나다
아끼다 / 절약하다	낭비하다
앞당기다	늦추다 / 미루다
앞서다	뒤지다 / 뒤처지다
어색하다	자연스업다
얼다	녹다
(기한을) 연기하다	앞당기다
(입을) 열다	다물다
(문을) 열다	잠그다
올려놓다	내려놓다
옳다	그르다
외향적	extroverted, outgoing
원인	결과
위험하다	안전하다
유능하다	무능하다
유리하다	불리하다
유치하다	childish, immature
이롭다	해롭다
잃다	얻다
입다	벗다
입원하다	퇴원하다
장점	단점
재우다	깨우다
젖다	마르다
주의하다	방심하다
증가하다	감소하다
지다	이기다
지루하다	재미있다
지출	수입
지키다	어기다 / 위반하다
직접	간접
진하다 / 짙다	옅다
집중하다	한눈팔다
참석하다	빠지다 / 불참하다
처음	끝
철저히	대충
최고	최저
최소한	최대한
축소하다	확대하다
출구	입구
(술이) 취하다	깨다
칭찬	꾸중
(차를) 타다	내리다
튀근하다	출근하다
(물을) 틀다	잠그다
펴다	개다
편안하다	불편하다
평범하다	특별하다
포함하다	제외하다
풀다	묶다
(짐을) 풀다	싸다
피하다	맞서다
합법	불법
합치다	나누다
행운	불운
화려하다	수수하다
환하다	어둡다 / 깜깜하다
흐리다	진하다 / 분명하다
*** 관용표현 - Idiomatic expressions (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/4/)
가슴이 저리다	Heartbreaking. (속이 상해 마음이 쓰리고 아프다)
가슴에 못(을) 박다	Be deeply hurt in the heart (마음 속 깊이 분한 생각이 맺히게 하다)
가슴이 내려앉다	be greatly surprised (깜짝 놀라다)
가슴이 미어지다 (터지다)	Heart breaking (마음이 슬픔이나 고통으로 가득 차 참기 힘들다)
가슴이 아프다	Heartache (슬프거나 안타깝다)
가슴이 찡하다	감동하다
가시 방석에 앉다	to be on pins and needles (긴장되다/마음이 힘들고 부편한 상황에 있다)
가시밭걸을 가다	Walk on a thorny road (아주 어렵고 힘들게 살다)
간(이) 떨어지다	be shaken/shocked/frightened (매우 놀라다)
간담(간 & 쓸개)이 서늘하다	be taken aback;be frightened out of one´s senses (매우 놀라서 섬뜩하다)
간을 녹이다	Used when flattered (감언이설 등으로 상대를 사로잡음)
골치 아프다	have a headache because solving sth is hard (일을 해결하기 어려워서 머리가 아프다)
