증정하다	present
찬성하다	agree with
대기하다	wait for
대비하다	prepare
시행하다	implement; enforce
심다	plant
따다	obtain, get; pick, pluck
꾸미다	decorate; adorn oneself
나타내다	express; show, appear
늦추다	delay, postpon
닿다	reach; touch
펼치다	perform; spread out
갚다	pay back, repay
꿈꾸다	dream
녹다	melt
