거주하다	live
기념하다	celebrate
심사하다	evaluate; judge
영업하다	run, operate; work
확대하다	magnify; increase
처벌하다	punish
적용하다	apply
검토하다	review
만족하다	be satisfied with
수술하다	operate on; have operation on
전달되다	be conveyed
허락하다	allow, permit
촬영하다	take a photograph
출산하다	give birth to; childbirth
