응답하다	reply, respond, answer
조언하다	advise
건설하다	build; construct
전달하다	pass; deliver
낭비하다	waste; consume
요구하다	require, request; ask for
접수하다	receive; register
자극하다	stimulate; incite
저축하다	save
전망하다	forecast; expect
개선하다	improve
잘되다	go well
쌓다	accumulate
뽑다	pull out of; hire
