비하다	compare with
활동하다	move; work
다하다	do; make
증가하다	increase
감소하다	decrease
피하다	avoid; take shelter from
행동하다	behave; act
참여하다	participate, take part in; attend
선택하다	select; choose
고민하다	worry
개발하다	develop
