존경하다	respect; respectable
중단하다	quit; discontinue
추가하다	add; supplement
요청하다	ask for; request
전개하다	spread out; develop; organize
제거하다	remove; get rid of
존재하다	exist
존중하다	respect (not 존경하다)
관찰하다	observe; watch, look at
귀국하다	come back to one's country
노동하다	work
수용하다	accept
하락하다	decrease
해당하다	correspond to
추구하다	pursuit; seek for
