도입하다	adopt; introduce
동의하다	agree with
안심하다	relax
해소하다	reduce
저장하다	keep; store
비롯하다	including
기부하다	donate
창업하다	found; establish
파괴하다	destroy
등장하다	appear
횡단하다	traverse; walk across
흡수하다	absorb
구조하다	rescue; save
수출하다	export
