완성하다	complete
의심하다	doubt; suspect
입원하다	be hospitalized
장사하다	run a business
제작하다	produce; make
주목하다	note; pay attention
차지하다	have; occupy
선호하다	prefer; favoring
공지하다	notify; announce
양보하다	yield; offer seat
표시하다	mark
퇴직하다	retire
예측하다	forecast
의식하다	be conscious of
제안하다	suggest
