형성되다	make form; develop, build
잡히다	get to work; catch
조절하다	control
지치다	be tired of; exhausted
부딪히다	bump, crash, hit; confront
섞다	mix
공격하다	attack
지출하다	expend; spend
운행하다	run
창조하다	create
출동하다	be dispatched
접하다	encounter
분실하다	lose
달성하다	achieve; reach
실감하다	realize
