우수하다	excellent
손쉽다	easily, without difficulty
신중하다	seriously
현명하다	wise, smart; wisely
뚜렷하다	obvious, clear
쓸모없다	useless
세다	powerfully; strongly
불행하다	unhappy
저렴하다	cheap
솔직하다	honest, frank; frankly
거칠다	rough
건조하다	dry
낯설다	unfamiliar
