덜다	reduce
돌보다	take care of
풀리다	relieve
붐비다	be crowded with
뽑히다	be chosen, be selected; be elected
가꾸다	take care of; raise, grow; manage
넘어가다	be lured by; fall; over
돌아보다	look back; look around
식히다	rest; cool down
애쓰다	try to; make efforts
여쭈다	ask
젖다	wet
생각나다	think of
생겨나다	occurred to; happen to; create
