침착하다	without agitation, calmly
튼튼하다	strong; healthy
틀림없다	certainly; clear, certain, sure
불쾌하다	unpleasant; disagreeable
선명하다	clearly; vividly
불가하다	not allowed; impossible
창피하다	have advantage (merit, strong point)
시급하다	urgent
위급하다	in a critical condition
이르다	early
놀랍다	amazing, remarkable; surprise
당황스럽다	embarrassed, confused
소심하다	timorous, timid
쌀쌀하다	chilly
불우하다	miserable, pitiful
