그러하다	as; such
정확하다	correctly; accurate
분명하다	clearly; obvious, evident
소중하다	precious; valuable
안타깝다	feel sorry
익숙하다	be familiar with
심각하다	seriously; serious
낫다	better
부족하다	lack; shortage
강하다	strong
훌륭하다	excellent; great
